slide,titulo,secao_detectada,secao_correta (preencher)
91,TABELA DE LACUNAS - R$/M² POR M² | Z.I. TOTAL,LACUNAS,
92,"Faltou a tabela de lacunas de vagas, conforme solicitado em ata",LACUNAS,
93,ÁREA DE LAZER,(sem seção),
94,ÁREAS DE LAZER,(sem seção),
95,REVENDA - VERTICAL,MERCADO,
96,REVENDA - VERTICAL,MERCADO,
97,REVENDA | TIPOLOGIA,MERCADO,
98,REVENDA | BAIRROS,MERCADO,
99,"REVENDA | PREÇO, METRAGEM E R$/M",MERCADO,
100,ESGOTADOS - VERTICAL,(sem seção),
101,LOCALIZAÇÃO DOS EMPREENDIMENTOS – Esgotados,MERCADO,
102,OFERTA LANÇADA POR PADRÃO,MERCADO,
103,OFERTA LANÇADA POR ANO DE LANÇAMENTO,MERCADO,
104,OFERTA LANÇADA POR TIPOLOGIA,MERCADO,
105,"MÍNIMO, MÉDIA E MÁXIMO DA METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
106,FUTUROS LANÇAMENTOS - VERTICAL,MERCADO,
107,LOCALIZAÇÃO DOS EMPREENDIMENTOS – Futuros,MERCADO,
108,FUTUROS LANÇAMENTOS – Até 15 min,MERCADO,
109,ANÁLISE DA CONCORRÊNCIA,MERCADO,
110,Empreendimentos,MERCADO,
111,Empreendimentos,MERCADO,
112,Empreendimentos,MERCADO,
113,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
114,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
115,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
116,PREÇO E ÁREA MÉDIA POR TIPOLOGIA,MERCADO,
117,PREÇO POR M² PRIVATIVO POR TIPOLOGIA,MERCADO,
118,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
119,VSO,(sem seção),
120,"ANÁLISE POR TIPOLOGIA, TICKET E FAIXA DE METRAGEM",MERCADO,
121,TABELA DE LACUNAS - TIPOLOGIA POR M² - Z.I. TOTAL,LACUNAS,
122,TABELA DE LACUNAS- TIPOLOGIA POR R$/M² – Z.I. TOTAL,LACUNAS,
123,TABELA DE LACUNAS – R$/m² POR M² - Z.I. TOTAL,LACUNAS,
124,"Faltou a tabela de lacunas de vagas, conforme solicitado em ata",LACUNAS,
125,ANÁLISE DA CONCORRÊNCIA,MERCADO,
126,Empreendimentos,MERCADO,
127,Empreendimentos,MERCADO,
128,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
129,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
130,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
131,PREÇO E ÁREA MÉDIA POR TIPOLOGIA,MERCADO,
132,PREÇO POR M² PRIVATIVO POR TIPOLOGIA,MERCADO,
133,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
134,VSO,(sem seção),
135,"ANÁLISE POR TIPOLOGIA, TICKET E FAIXA DE METRAGEM",MERCADO,
136,TABELA DE LACUNAS - TIPOLOGIA POR M² - Z.I. TOTAL,LACUNAS,
137,TABELA DE LACUNAS- TIPOLOGIA POR R$/M² – Z.I. TOTAL,LACUNAS,
138,TABELA DE LACUNAS – R$/m² POR M² - Z.I. TOTAL,LACUNAS,
139,ANÁLISE DA CONCORRÊNCIA,MERCADO,
140,Empreendimentos,MERCADO,
141,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
142,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
143,OFERTA LANÇADA E FINAL POR TIPOLOGIA,MERCADO,
144,PREÇO E ÁREA MÉDIA POR TIPOLOGIA,MERCADO,
145,PREÇO POR M² PRIVATIVO POR TIPOLOGIA,MERCADO,
146,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
147,VSO,(sem seção),
148,"ANÁLISE POR TIPOLOGIA, TICKET E FAIXA DE METRAGEM",MERCADO,
149,TABELA DE LACUNAS - TIPOLOGIA POR M² - Z.I. TOTAL,LACUNAS,
150,TABELA DE LACUNAS- TIPOLOGIA POR R$/M² – Z.I. TOTAL,LACUNAS,
151,TABELA DE LACUNAS – R$/m² POR M² - Z.I. TOTAL,LACUNAS,
152,"Faltou a tabela de lacunas de vagas, conforme solicitado em ata",LACUNAS,
153,AVALIAÇÃO DA CONSULTORIA,(sem seção),
154,Destaques do estudo de mercado,MERCADO,
155,Recomendações,CONCLUSAO,
156,CONSULTORES DO ESTUDO,(sem seção),
157,Teresa Cristina,(sem seção),
158,(sem título),(sem seção),
159,APÊNDICES,(sem seção),
160,APÊNDICE A,(sem seção),
161,ANÁLISE GEORREFERENCIADA DA ZONA DE INFLUÊNCIA,IDENTIFICACAO,
162,IDENTIFICAÇÃO DO POTENCIAL LATENTE,IDENTIFICACAO,
163,(sem título),(sem seção),
164,(sem título),(sem seção),
165,(sem título),(sem seção),
