slide,titulo,secao_detectada,secao_correta (preencher)
46,DOMICÍLIOS POR TIPO,SOCIO,
47,DOMICÍLIOS POR TIPO,SOCIO,
48,"Apartamento14,9%",(sem seção),
49,ÍNDICE DE VERTICALIZAÇÃO,(sem seção),
50,DOMICÍLIOS POR CONDIÇÃO DE OCUPAÇÃO,SOCIO,
51,DOMICÍLIOS POR CONDIÇÃO DE OCUPAÇÃO,SOCIO,
52,ÍNDICE DE PROPRIEDADE,(sem seção),
53,ÍNDICE DE PROPRIEDADE,(sem seção),
54,PONTOS DE COMÉRCIO E SERVIÇOS NA ZONA DE INFLUÊNCIA,IDENTIFICACAO,
55,PONTOS DE COMÉRCIO E SERVIÇOS NAS ZONAS DE INFLUÊNCIA,(sem seção),
56,PONTOS DE COMÉRCIO E SERVIÇOS,(sem seção),
57,PONTOS DE COMÉRCIO E SERVIÇOS,(sem seção),
58,PROJEÇÃO DE DEMANDA VEGETATIVA,SOCIO,
59,PROJEÇÃO DA DEMANDA VEGETATIVA DE DOMICÍLIOSItajaí,SOCIO,
60,PROJEÇÃO DA DEMANDA VEGETATIVA DE DOMICÍLIOS30 min,SOCIO,
61,POTENCIAL DE MERCADO PARA PRODUTOS HORIZONTAIS,MERCADO,
62,Tabela Explicativa,(sem seção),
63,ANÁLISE DO MERCADO RESIDENCIAL,MERCADO,
64,LOCALIZAÇÃO DOS EMPREENDIMENTOS,MERCADO,
65,(sem título),(sem seção),
66,(sem título),(sem seção),
67,"Aqui nesses terrenos olhando pelo google Earth eles parecem já estar terraplanados, precisamos verificar se já não há pl",IDENTIFICACAO,
68,EMPREENDIMENTOS RESIDENCIAIS,MERCADO,
69,EMPREENDIMENTOS RESIDENCIAIS,MERCADO,
70,EMPREENDIMENTOS RESIDENCIAIS,MERCADO,
71,Análise da Concorrência,MERCADO,
72,EMPREENDIMENTOS Até 10 min,MERCADO,
73,CONCORRENTES,(sem seção),
74,CONCORRENTES,(sem seção),
75,CONCORRENTES,(sem seção),
76,OFERTA LANÇADA E FINAL POR TIPO,MERCADO,
77,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
78,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
79,PREÇO POR TIPOLOGIA,MERCADO,
80,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
81,Análise da Concorrência,MERCADO,
82,"Esse aqui me parece ser um loteamento aberto, mas precisamos confirmar, não está em nossa consolidada",(sem seção),
83,EMPREENDIMENTOS 20 min,MERCADO,
84,CONCORRENTES,(sem seção),
85,CONCORRENTES,(sem seção),
86,CONCORRENTES,(sem seção),
87,OFERTA LANÇADA E FINAL POR TIPO,MERCADO,
88,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
89,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
90,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
91,PREÇO POR TIPOLOGIA,MERCADO,
92,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
93,Análise da Concorrência,MERCADO,
94,EMPREENDIMENTOS 30 min,MERCADO,
95,CONCORRENTES,(sem seção),
96,CONCORRENTES,(sem seção),
97,CONCORRENTES,(sem seção),
98,OFERTA LANÇADA E FINAL POR TIPO,MERCADO,
99,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
100,OFERTA LANÇADA E FINAL POR ANO DE LANÇAMENTO,MERCADO,
101,PREÇO POR TIPOLOGIA,MERCADO,
102,"MÍNIMO, MÉDIA E MÁXIMO DO PREÇO E METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
103,"Análise por tipologia, ticket e faixa de metragemZ.I total",MERCADO,
104,TABELA DE LACUNAS TIPOLOGIA POR M²,LACUNAS,
105,TABELA DE LACUNAS TIPOLOGIA POR R$/M²,LACUNAS,
106,Análise Áreas de Lazer,(sem seção),
107,Área de Lazer,(sem seção),
108,Área de Lazer Fiore di Milano,(sem seção),
109,Área de LazerGarden Village,(sem seção),
110,Área de Lazer Colinas de Camboriú Village,(sem seção),
111,Área de Lazer Jardim das Acácias Fase 1 e 2,(sem seção),
112,Área de LazerCondomínio Caledônia Private Village,(sem seção),
113,Área de LazerIlha de Malta,(sem seção),
114,DESCRIÇÃO DOS CONCORRENTES,(sem seção),
115,CONCORRENTES,(sem seção),
116,CONCORRENTES,(sem seção),
117,CONCORRENTES,(sem seção),
118,IMÓVEIS DE REVENDA - LOTES,MERCADO,
119,Lotes de Revenda | Média por bairros,MERCADO,
120,Lotes de Revenda,MERCADO,
121,Lotes de Revenda,MERCADO,
122,Lotes de Revenda,MERCADO,
123,Lotes de Revenda,MERCADO,
124,IMÓVEIS DE REVENDA - CASAS,MERCADO,
125,LOCALIZAÇÃO DOS LOTES,(sem seção),
126,Casas de Revenda,MERCADO,
127,Casas de Revenda,MERCADO,
128,FUTUROS LANÇAMENTOS,MERCADO,
129,LOCALIZAÇÃO,(sem seção),
130,Empreendimentos Futuros,MERCADO,
131,ESGOTADOS,(sem seção),
132,LOCALIZAÇÃO,(sem seção),
133,OFERTA LANÇADA POR PADRÃO,MERCADO,
134,OFERTA LANÇADA POR ANO DE LANÇAMENTO,MERCADO,
135,"MÍNIMO, MÉDIA E MÁXIMO DA METRAGEM PRIVATIVA POR TIPOLOGIA",MERCADO,
136,AVALIAÇÃO DA CONSULTORIA,(sem seção),
137,Avaliações Gerais,(sem seção),
138,Recomendações,CONCLUSAO,
139,CONSULTORES DO ESTUDO,(sem seção),
140,Fábio Tadeu Araújo,(sem seção),
141,(sem título),(sem seção),
142,(sem título),(sem seção),
143,(sem título),(sem seção),
